gender,Age,Years_in_job,Income,Province,Savings,Home_ownership,Credit_history,Number_of_accs,Credit_cards,Home_loan,Overdraft,Student_Loan,Non_perfoming_Accs,Open Accounts,Current_In_Arrears,Current_balance_Amt,Past_due_Amt,No_of_enquiries,Score,Def,monthly_installments,Number_of_monthly_installments
Male,30,6,61691,Central,32975,Rent,5,7,0,0,2,0,3,1,1,12300,8610.0,7,386,1,18507.3,10
Male,18,2,53706,Rift Valley,4101,Rent,1,14,0,0,2,1,6,1,1,16100,11270.0,23,391,1,16111.8,2
Female,41,13,103498,Nairobi,98396,Rent,8,32,0,0,2,0,10,2,2,20700,6210.0,31,480,1,31049.399999999998,11
Female,55,27,147984,Nairobi,339058,Own Home,14,61,1,0,1,0,6,3,0,14800,0.0,34,760,0,44395.2,4
Female,53,17,137692,Nairobi,407667,Own Home,5,16,0,0,1,0,6,2,0,20700,0.0,7,677,0,41307.6,10
Female,21,3,56589,Western,4058,Rent,1,6,0,0,1,1,2,1,1,17000,11900.0,9,433,1,16976.7,10
Female,48,30,143679,Nairobi,329251,Own Home,13,65,3,0,1,0,6,3,0,14400,0.0,25,720,0,43103.7,3
Male,43,14,119936,Nairobi,116517,Mortgage,6,15,0,1,1,0,6,1,0,18000,0.0,8,497,1,35980.799999999996,10
Male,28,9,60929,Northe Eastern ,24156,Rent,3,11,0,0,0,1,4,1,1,12200,8540.0,11,514,0,18278.7,1
Female,38,13,129526,Nairobi,183357,Own Home,6,24,0,0,4,0,7,2,0,25900,0.0,12,715,0,38857.799999999996,4
Male,50,17,149994,Nairobi,363978,Own Home,12,35,0,0,4,0,10,2,0,22500,0.0,19,684,0,44998.2,10
Female,26,6,66115,Rift Valley,30779,Rent,2,10,0,0,2,1,4,1,1,13200,9240.0,9,530,0,19834.5,10
Male,30,10,51453,Nairobi,25332,Rent,6,27,0,0,2,0,8,2,2,10300,7209.999999999999,29,534,0,15435.9,6
Male,29,5,86157,Nairobi,35988,Rent,2,1,0,0,0,0,0,1,1,25800,18060.0,2,585,0,25847.1,6
Male,42,12,109576,Nairobi,142680,Own Home,6,36,0,0,2,0,11,3,0,21900,0.0,21,711,0,32872.799999999996,11
Male,36,12,129246,Nairobi,140361,Own Home,9,29,0,0,1,0,9,2,0,25800,0.0,9,664,0,38773.799999999996,8
Female,34,6,97858,Nairobi,55250,Rent,6,28,0,0,1,0,8,2,2,19600,13720.0,38,588,0,29357.399999999998,4
Male,53,27,122393,Nairobi,349132,Own Home,9,17,0,0,3,0,7,2,0,12200,0.0,6,661,0,36717.9,8
Male,26,6,68191,Rift Valley,41889,Rent,8,21,0,0,2,1,6,1,1,13600,9520.0,18,524,0,20457.3,3
Male,50,29,123865,Nairobi,357943,Own Home,14,38,3,0,4,0,11,3,0,12400,0.0,13,709,0,37159.5,7
Male,32,8,75569,Eastern,41625,Rent,2,10,0,0,1,0,4,1,1,15100,10570.0,17,442,1,22670.7,1
Female,34,10,98768,Nairobi,37127,Rent,3,9,0,0,1,0,4,1,1,19800,13860.0,16,375,1,29630.399999999998,4
Male,54,18,122170,Nairobi,246730,Own Home,10,23,0,0,2,0,7,2,0,18300,0.0,10,664,0,36651.0,4
Male,46,27,143531,Nairobi,340814,Own Home,8,26,0,0,4,0,8,2,0,14400,0.0,9,710,0,43059.299999999996,7
Male,45,15,115873,Nairobi,124940,Own Home,7,15,0,0,2,0,6,1,0,17400,0.0,6,620,0,34761.9,11
Female,28,10,55103,Nyanza,33626,Rent,2,20,0,0,0,1,8,2,2,11000,7699.999999999999,20,481,1,16530.899999999998,8
Female,43,13,97646,Nairobi,142288,Own Home,11,49,0,0,2,0,15,3,0,19500,0.0,16,678,0,29293.8,10
Female,19,2,39752,Eastern,3619,Rent,2,12,0,0,1,1,5,1,1,11900,8330.0,12,440,1,11925.6,11
Male,38,15,107881,Nairobi,126901,Own Home,11,36,0,0,2,0,11,3,0,16200,0.0,16,639,0,32364.3,3
Female,54,17,124141,Nairobi,361208,Own Home,5,11,0,0,4,0,4,1,0,18600,0.0,5,667,0,37242.299999999996,11
Male,27,9,92596,Nairobi,44019,Rent,7,18,0,0,1,0,7,2,2,18500,12950.0,26,478,1,27778.8,8
Male,46,22,148233,Nairobi,426957,Own Home,14,66,3,0,3,0,7,3,0,14800,0.0,34,694,0,44469.9,7
Male,39,11,107543,Nairobi,119270,Mortgage,6,15,0,1,0,0,6,1,0,21500,0.0,5,551,0,32262.899999999998,9
Female,49,21,133860,Nairobi,327846,Own Home,11,65,0,0,4,0,6,3,0,13400,0.0,18,725,0,40158.0,1
Female,19,3,34881,Western,2604,Rent,1,7,0,0,0,1,3,1,1,10500,7349.999999999999,8,435,1,10464.3,11
Female,31,8,74108,Central,26673,Rent,8,38,0,0,1,0,11,3,3,14800,10360.0,50,535,0,22232.399999999998,9
Male,27,7,58893,Western,27591,Rent,6,29,0,0,1,1,9,2,2,11800,8260.0,24,460,1,17667.899999999998,4
Male,40,14,103961,Nairobi,123840,Own Home,10,26,0,0,1,0,8,2,0,15600,0.0,12,709,0,31188.3,9
Male,27,8,95015,Nairobi,39836,Rent,4,2,0,0,1,0,1,2,2,19000,13300.0,3,320,1,28504.5,6
Female,46,25,131349,Nairobi,367133,Own Home,18,80,2,0,3,0,4,2,0,13100,0.0,26,706,0,39404.7,2
Female,51,21,122796,Nairobi,343517,Own Home,18,96,2,0,2,0,5,2,0,12300,0.0,43,721,0,36838.799999999996,8
Male,22,1,40169,Nyanza,2684,Rent,1,2,0,0,1,1,1,2,2,12100,8470.0,2,335,1,12050.699999999999,10
Male,53,21,146780,Nairobi,314349,Own Home,16,93,4,0,4,0,5,2,0,14700,0.0,42,737,0,44034.0,9
Female,53,30,125731,Nairobi,259986,Own Home,14,51,1,0,3,0,15,3,0,12600,0.0,28,645,0,37719.299999999996,7
Male,29,5,95969,Nairobi,65376,Rent,1,2,0,0,1,0,1,2,2,28800,20160.0,3,339,1,28790.7,11
Female,26,7,63322,Northe Eastern ,31503,Rent,2,9,0,0,0,1,4,1,1,12700,8890.0,9,456,1,18996.6,2
Male,18,3,57724,Nairobi,3505,Rent,1,9,0,0,2,1,4,1,1,17300,12110.0,12,325,1,17317.2,3
Male,32,10,71930,Western,47300,Rent,2,20,0,0,2,0,8,2,2,14400,10080.0,26,412,1,21579.0,8
Male,22,2,34273,Northe Eastern ,2221,Rent,1,7,0,0,2,1,3,1,1,10300,7209.999999999999,6,307,1,10281.9,11
Female,29,7,53551,Central,18554,Rent,3,17,0,0,2,0,7,2,2,10700,7489.999999999999,15,543,0,16065.3,1
Male,39,11,116281,Nairobi,107523,Rent,11,39,0,0,1,0,12,3,3,23300,6990.0,45,551,0,34884.299999999996,4
Female,32,10,83890,Nairobi,37292,Rent,6,39,0,0,0,0,12,3,3,16800,11760.0,78,439,1,25167.0,11
Male,18,2,45962,Central,2814,Rent,2,12,0,0,2,1,5,1,1,13800,9660.0,14,377,1,13788.6,10
Female,45,14,115997,Nairobi,168718,Own Home,10,31,0,0,1,0,9,2,0,17400,0.0,7,662,0,34799.1,10
Male,37,14,99731,Nairobi,105005,Rent,7,31,0,0,2,0,9,2,2,15000,4500.0,37,521,0,29919.3,6
Female,33,5,86721,Nairobi,30186,Rent,1,13,0,0,1,0,5,1,1,26000,18200.0,19,409,1,26016.3,7
Male,25,2,35256,Eastern,1684,Rent,1,19,0,0,1,1,8,2,2,10600,7419.999999999999,21,301,1,10576.8,9
Female,21,2,38124,Eastern,2087,Rent,2,10,0,0,2,1,4,1,1,11400,7979.999999999999,9,539,0,11437.199999999999,8
Female,34,9,61778,Eastern,31975,Rent,5,10,0,0,2,0,4,1,1,12400,8680.0,8,416,1,18533.399999999998,5
Female,40,12,101371,Nairobi,136327,Own Home,5,19,0,0,1,0,8,2,0,20300,0.0,10,530,0,30411.3,7
Female,45,14,107093,Nairobi,137251,Own Home,10,39,0,0,0,0,12,3,0,16100,0.0,18,699,0,32127.899999999998,9
Male,36,12,109801,Nairobi,154721,Own Home,11,48,0,0,1,0,14,3,0,22000,0.0,17,676,0,32940.299999999996,8
Male,24,1,33753,Nyanza,1873,Rent,2,5,0,0,1,1,2,2,2,10100,7070.0,6,469,1,10125.9,2
Male,32,7,68888,Eastern,35186,Rent,4,15,0,0,2,0,6,1,1,13800,9660.0,16,467,1,20666.399999999998,5
Male,33,5,57355,Northe Eastern ,24111,Rent,1,18,0,0,0,0,7,2,2,17200,12040.0,24,389,1,17206.5,2
Male,35,10,76160,Nairobi,35830,Rent,7,31,0,0,2,0,9,2,2,15200,10640.0,43,593,0,22848.0,3
Female,54,19,147575,Nairobi,298054,Own Home,10,38,0,0,1,0,11,3,0,22100,0.0,13,652,0,44272.5,9
Female,40,15,111940,Nairobi,130372,Own Home,10,15,0,0,2,0,6,1,0,16800,0.0,8,648,0,33582.0,8
Male,43,15,102506,Nairobi,131797,Own Home,7,30,0,0,0,0,9,2,0,15400,0.0,6,697,0,30751.8,10
Male,28,8,95457,Nairobi,55212,Rent,2,6,0,0,1,0,2,1,1,19100,13370.0,12,460,1,28637.1,10
Female,30,6,96513,Nairobi,45957,Rent,8,19,0,0,1,0,8,2,2,19300,13510.0,38,427,1,28953.899999999998,3
Male,45,13,99701,Nairobi,100418,Rent,10,25,0,0,2,0,7,2,2,19900,5970.0,28,544,0,29910.3,6
Female,45,12,101262,Nairobi,151828,Own Home,6,22,0,0,1,0,7,2,0,20300,0.0,7,709,0,30378.6,5
Male,38,12,96833,Nairobi,97605,Rent,6,35,0,0,0,0,10,2,2,19400,5820.0,39,511,0,29049.899999999998,11
Female,35,10,57690,Central,20139,Rent,3,16,0,0,2,0,6,2,2,11500,8049.999999999999,14,597,0,17307.0,2
Male,43,11,110671,Nairobi,137924,Own Home,12,61,0,0,2,0,6,3,0,22100,0.0,33,740,0,33201.299999999996,8
Female,42,11,111058,Nairobi,111358,Mortgage,11,63,0,1,1,0,6,3,0,22200,0.0,36,728,0,33317.4,7
Female,49,28,148956,Nairobi,340764,Own Home,8,15,0,0,4,0,6,1,0,14900,0.0,5,628,0,44686.799999999996,6
Male,40,15,124643,Nairobi,141552,Own Home,6,36,0,0,1,0,11,3,0,18700,0.0,14,659,0,37392.9,8
Female,51,28,147682,Nairobi,337297,Own Home,12,61,0,0,2,0,6,3,0,14800,0.0,19,715,0,44304.6,5
Female,51,18,134175,Nairobi,314255,Own Home,10,38,0,0,3,0,11,3,0,20100,0.0,21,714,0,40252.5,4
Female,45,14,117564,Nairobi,145268,Own Home,7,27,0,0,1,0,8,2,0,17600,0.0,8,669,0,35269.2,5
Male,38,11,92721,Nairobi,132338,Own Home,7,37,0,0,2,0,11,3,0,18500,0.0,10,681,0,27816.3,11
Female,44,11,104456,Nairobi,119729,Mortgage,5,5,0,1,0,0,2,2,0,20900,0.0,3,530,0,31336.8,6
Female,31,4,62428,Rift Valley,22616,Rent,2,3,0,0,2,0,1,2,2,18700,13090.0,5,474,1,18728.399999999998,11
Male,39,12,102961,Nairobi,119949,Mortgage,7,33,0,1,0,0,10,2,0,20600,0.0,12,626,0,30888.3,9
Male,29,7,69416,Rift Valley,27283,Rent,4,19,0,0,1,0,8,2,2,13900,9730.0,19,367,1,20824.8,5
Female,24,3,39027,Western,3386,Rent,2,2,0,0,1,1,1,2,2,11700,8189.999999999999,2,406,1,11708.1,9
Male,52,30,137153,Nairobi,355618,Own Home,18,94,0,0,4,0,5,2,0,13700,0.0,19,723,0,41145.9,9
Female,40,12,121791,Nairobi,120813,Own Home,11,70,0,0,4,0,7,3,0,24400,0.0,39,716,0,36537.299999999996,11
Male,19,2,57331,Nyanza,1154,Rent,2,12,0,0,0,1,5,1,1,17200,12040.0,19,309,1,17199.3,11
Male,51,19,146001,Nairobi,398037,Own Home,8,38,0,0,3,0,11,3,0,21900,0.0,13,660,0,43800.299999999996,1
Female,34,8,80659,Nairobi,35423,Rent,6,37,0,0,0,0,11,3,3,16100,11270.0,71,471,1,24197.7,1
Male,42,13,100270,Nairobi,147102,Own Home,11,63,0,0,1,0,6,3,0,20100,0.0,20,738,0,30081.0,4
Male,35,8,61375,Rift Valley,31959,Rent,6,17,0,0,2,0,7,2,2,12300,8610.0,20,455,1,18412.5,10
Female,53,17,125938,Nairobi,277332,Own Home,8,33,0,0,3,0,10,2,0,18900,0.0,11,687,0,37781.4,3
Male,44,12,91521,Nairobi,131190,Own Home,6,35,0,0,0,0,10,2,0,18300,0.0,16,659,0,27456.3,2
Female,39,14,106077,Nairobi,125727,Own Home,5,13,0,0,0,0,5,1,0,15900,0.0,7,604,0,31823.1,1
Male,39,13,128359,Nairobi,163158,Own Home,10,22,0,0,3,0,7,2,0,25700,0.0,13,688,0,38507.7,4
Male,32,7,95474,Nairobi,28781,Rent,2,11,0,0,0,0,4,1,1,19100,13370.0,22,522,0,28642.2,10
Female,54,19,131419,Nairobi,356625,Own Home,5,16,0,0,2,0,6,2,0,19700,0.0,5,703,0,39425.7,7
Male,23,2,42247,Rift Valley,2492,Rent,2,10,0,0,1,1,4,1,1,12700,8890.0,11,526,0,12674.1,10
Female,34,4,61657,Nairobi,27803,Rent,2,5,0,0,1,0,2,2,2,18500,12950.0,9,534,0,18497.1,1
Male,48,18,121140,Nairobi,275912,Own Home,6,30,0,0,1,0,9,2,0,18200,0.0,8,640,0,36342.0,1
Male,30,10,76291,Nairobi,34160,Rent,6,23,0,0,0,0,7,2,2,15300,10710.0,46,539,0,22887.3,5
Female,35,9,97829,Nairobi,49015,Rent,5,17,0,0,1,0,7,2,2,19600,13720.0,26,515,0,29348.7,8
Female,20,2,55846,Central,2006,Rent,1,16,0,0,1,1,6,2,2,16800,11760.0,30,471,1,16753.8,3
Male,30,7,61928,Nairobi,38129,Rent,7,34,0,0,1,0,10,2,2,12400,8680.0,32,545,0,18578.399999999998,3
Female,35,9,97467,Nairobi,61134,Rent,2,3,0,0,2,0,1,2,2,19500,13650.0,6,493,1,29240.1,5
Male,55,22,144801,Nairobi,327103,Own Home,10,26,0,0,2,0,8,2,0,14500,0.0,10,638,0,43440.299999999996,3
Female,32,8,66979,Northe Eastern ,43433,Rent,6,37,0,0,0,0,11,3,3,13400,9380.0,32,463,1,20093.7,11
Female,38,14,92379,Nairobi,105907,Rent,12,60,0,0,1,0,6,3,3,13900,4170.0,61,537,0,27713.7,1
Male,18,2,46610,Nairobi,1292,Rent,1,14,0,0,2,1,6,1,1,14000,9800.0,12,275,1,13983.0,4
Male,29,6,93184,Nairobi,37631,Rent,2,12,0,0,1,0,5,1,1,18600,13020.0,16,381,1,27955.2,9
Male,19,2,35992,Eastern,1088,Rent,2,19,0,0,0,1,8,2,2,10800,7559.999999999999,20,302,1,10797.6,8
Male,54,29,145578,Nairobi,421712,Own Home,18,92,2,0,3,0,5,2,0,14600,0.0,44,688,0,43673.4,3
Female,33,4,70660,Eastern,44222,Rent,2,16,0,0,0,0,6,2,2,21200,14839.999999999998,24,394,1,21198.0,6
Female,54,21,146582,Nairobi,432071,Own Home,10,21,0,0,3,0,6,1,0,14700,0.0,7,667,0,43974.6,7
Male,37,11,116693,Nairobi,169304,Own Home,12,69,0,0,0,0,7,3,0,23300,0.0,25,730,0,35007.9,9
Male,36,13,124577,Nairobi,116529,Mortgage,11,35,0,1,2,0,10,2,0,24900,0.0,12,636,0,37373.1,8
Male,37,14,116018,Nairobi,134019,Own Home,11,64,0,0,2,0,6,3,0,17400,0.0,30,759,0,34805.4,6
Male,37,15,97678,Nairobi,137815,Own Home,11,42,0,0,1,0,13,3,0,14700,0.0,13,690,0,29303.399999999998,5
Female,45,13,119939,Nairobi,121486,Own Home,11,38,0,0,0,0,11,3,0,24000,0.0,15,683,0,35981.7,8
Female,41,15,95796,Nairobi,101270,Rent,12,66,0,0,1,0,7,3,3,14400,4320.0,78,507,0,28738.8,3
Male,34,10,65611,Nyanza,42506,Rent,7,23,0,0,0,0,7,2,2,13100,9170.0,26,578,0,19683.3,5
Female,41,14,93390,Nairobi,114935,Mortgage,6,25,0,1,1,0,7,2,0,14000,0.0,13,642,0,28017.0,3
Female,52,26,147954,Nairobi,440321,Own Home,18,89,4,0,1,0,4,2,0,14800,0.0,53,729,0,44386.2,7
Female,28,9,89902,Nairobi,50974,Rent,4,5,0,0,2,0,2,2,2,18000,12600.0,7,427,1,26970.6,6
Male,25,1,53845,Western,4077,Rent,1,9,0,0,1,1,4,1,1,16200,11340.0,17,354,1,16153.5,3
Female,43,14,126432,Nairobi,188690,Own Home,6,24,0,0,3,0,7,2,0,19000,0.0,14,703,0,37929.6,7
Female,51,24,126921,Nairobi,257246,Own Home,14,61,0,0,3,0,6,3,0,12700,0.0,15,691,0,38076.299999999996,8
Female,23,2,58976,Eastern,1882,Rent,1,15,0,0,2,1,6,1,1,17700,12390.0,23,534,0,17692.8,3
Male,26,9,70949,Northe Eastern ,26218,Rent,6,20,0,0,0,1,8,2,2,14200,9940.0,17,548,0,21284.7,5
Male,23,1,52396,Western,1204,Rent,2,20,0,0,2,1,8,2,2,15700,10990.0,29,391,1,15718.8,9
Female,49,23,143108,Nairobi,366724,Own Home,15,38,4,0,1,0,11,3,0,14300,0.0,13,695,0,42932.4,6
Female,38,13,116645,Nairobi,123224,Own Home,10,31,0,0,0,0,9,2,0,23300,0.0,10,657,0,34993.5,3
Female,30,10,76145,Northe Eastern ,31979,Rent,5,11,0,0,2,0,4,1,1,15200,10640.0,22,497,1,22843.5,8
Male,39,12,102993,Nairobi,124138,Own Home,6,30,0,0,1,0,9,2,0,20600,0.0,15,657,0,30897.899999999998,1
Female,29,7,56901,Central,17892,Rent,6,30,0,0,1,0,9,2,2,11400,7979.999999999999,31,501,0,17070.3,11
Male,43,12,108765,Nairobi,102734,Rent,10,19,0,0,2,0,8,2,2,21800,6540.0,18,402,1,32629.5,3
Male,39,12,108761,Nairobi,155714,Own Home,6,38,0,0,2,0,11,3,0,21800,0.0,21,714,0,32628.3,7
Male,47,27,145788,Nairobi,350316,Own Home,15,34,0,0,3,0,10,2,0,14600,0.0,14,652,0,43736.4,4
Male,42,14,115419,Nairobi,158715,Own Home,12,48,0,0,2,0,14,3,0,17300,0.0,16,659,0,34625.7,8
Female,54,27,143780,Nairobi,354738,Own Home,17,77,2,0,1,0,4,2,0,14400,0.0,16,732,0,43134.0,11
Male,33,7,55406,Nyanza,17572,Rent,4,5,0,0,2,0,2,2,2,11100,7769.999999999999,5,488,1,16621.8,6
Male,25,1,49886,Northe Eastern ,1339,Rent,1,4,0,0,0,1,2,2,2,15000,10500.0,7,405,1,14965.8,4
Female,42,12,92027,Nairobi,102079,Rent,9,36,0,0,0,0,11,3,3,18400,5520.0,40,484,1,27608.1,4
Female,38,15,111093,Nairobi,106776,Rent,6,36,0,0,1,0,11,3,3,16700,5010.0,41,459,1,33327.9,7
Female,18,2,54664,Northe Eastern ,3365,Rent,2,3,0,0,0,1,1,2,2,16400,11480.0,4,486,1,16399.2,9
Male,37,14,112892,Nairobi,162944,Own Home,5,11,0,0,2,0,4,1,0,16900,0.0,5,657,0,33867.6,2
Male,25,2,47658,Rift Valley,3182,Rent,1,11,0,0,1,1,4,1,1,14300,10010.0,19,455,1,14297.4,3
Male,37,14,124986,Nairobi,163324,Own Home,11,56,0,0,1,0,6,3,0,18700,0.0,15,723,0,37495.799999999996,5
Female,45,12,94454,Nairobi,122857,Own Home,7,29,0,0,2,0,9,2,0,18900,0.0,17,641,0,28336.2,3
Female,42,11,109509,Nairobi,114383,Mortgage,10,35,0,1,2,0,10,2,0,21900,0.0,9,650,0,32852.7,10
Female,52,21,130076,Nairobi,340076,Own Home,12,31,0,0,1,0,9,2,0,13000,0.0,10,715,0,39022.799999999996,1
Female,36,13,104311,Nairobi,127952,Own Home,6,25,0,0,0,0,7,2,0,20900,0.0,15,699,0,31293.3,9
Male,37,12,107121,Nairobi,134311,Own Home,5,18,0,0,1,0,7,2,0,21400,0.0,5,602,0,32136.3,4
Male,48,27,137741,Nairobi,278519,Own Home,8,15,0,0,2,0,6,1,0,13800,0.0,9,621,0,41322.299999999996,4
Male,44,14,126244,Nairobi,166982,Own Home,8,20,0,0,2,0,8,2,0,18900,0.0,4,587,0,37873.2,7
Female,20,3,59409,Eastern,2084,Rent,1,3,0,0,1,1,1,2,2,17800,12460.0,6,431,1,17822.7,7
Male,21,1,57024,Northe Eastern ,2477,Rent,2,14,0,0,2,1,6,1,1,17100,11970.0,19,308,1,17107.2,5
Male,21,3,53214,Nyanza,1214,Rent,1,6,0,0,0,1,2,1,1,16000,11200.0,12,530,0,15964.199999999999,2
Male,47,24,145057,Nairobi,302827,Own Home,15,55,1,0,4,0,16,3,0,14500,0.0,33,676,0,43517.1,3
Male,34,4,75091,Western,52364,Rent,1,14,0,0,0,0,6,1,1,22500,15749.999999999998,25,322,1,22527.3,11
Male,26,7,52381,Western,34618,Rent,6,36,0,0,1,1,11,3,3,10500,7349.999999999999,43,466,1,15714.3,7
Male,27,9,71492,Nairobi,24479,Rent,4,10,0,0,1,1,4,1,1,14300,10010.0,16,550,0,21447.6,6
Male,47,26,135241,Nairobi,334000,Own Home,17,64,4,0,4,0,6,3,0,13500,0.0,37,711,0,40572.299999999996,9
Male,28,9,68788,Eastern,46678,Rent,7,19,0,0,2,1,8,2,2,13800,9660.0,20,343,1,20636.399999999998,2
Female,52,28,127602,Nairobi,326475,Own Home,12,60,0,0,3,0,6,3,0,12800,0.0,17,663,0,38280.6,9
Male,23,1,47464,Rift Valley,2418,Rent,1,16,0,0,0,1,6,2,2,14200,9940.0,18,471,1,14239.199999999999,10
Female,22,2,32139,Rift Valley,1898,Rent,2,6,0,0,1,1,2,1,1,9600,6720.0,5,547,0,9641.699999999999,5
Male,36,13,94781,Nairobi,110150,Mortgage,7,29,0,1,0,0,9,2,0,19000,0.0,8,619,0,28434.3,5
Male,54,18,126131,Nairobi,375710,Own Home,11,56,0,0,1,0,6,3,0,18900,0.0,21,743,0,37839.299999999996,10
Male,36,15,125766,Nairobi,123419,Own Home,12,34,0,0,1,0,10,2,0,18900,0.0,15,702,0,37729.799999999996,11
Male,20,3,55985,Western,4046,Rent,1,8,0,0,0,1,3,1,1,16800,11760.0,13,460,1,16795.5,11
Female,41,14,124416,Nairobi,168287,Own Home,8,18,0,0,4,0,7,2,0,18700,0.0,5,625,0,37324.799999999996,9
Male,39,11,97090,Nairobi,145201,Own Home,6,36,0,0,2,0,11,3,0,19400,0.0,21,667,0,29127.0,10
Female,36,12,105053,Nairobi,144103,Own Home,10,26,0,0,2,0,8,2,0,21000,0.0,12,657,0,31515.899999999998,2
Female,24,2,36754,Western,942,Rent,1,13,0,0,2,1,5,1,1,11000,7699.999999999999,14,404,1,11026.199999999999,4
Female,36,12,99973,Nairobi,144767,Own Home,7,23,0,0,1,0,7,2,0,20000,0.0,11,665,0,29991.899999999998,11
Female,52,18,138121,Nairobi,380951,Own Home,8,31,0,0,4,0,9,2,0,20700,0.0,11,670,0,41436.299999999996,1
Male,37,13,117660,Nairobi,175206,Own Home,9,22,0,0,1,0,7,2,0,23500,0.0,6,702,0,35298.0,10
Female,21,1,36422,Nyanza,3232,Rent,2,6,0,0,2,1,2,1,1,10900,7629.999999999999,5,503,0,10926.6,11
Female,31,4,89258,Nairobi,55904,Rent,1,19,0,0,2,0,8,2,2,26800,18760.0,26,378,1,26777.399999999998,4
Female,54,28,129873,Nairobi,329406,Own Home,11,60,0,0,1,0,6,3,0,13000,0.0,31,743,0,38961.9,10
Male,33,9,88782,Nairobi,36594,Rent,5,20,0,0,2,0,8,2,2,17800,12460.0,27,379,1,26634.6,9
Male,22,1,33558,Nairobi,1544,Rent,1,12,0,0,0,1,5,1,1,10100,7070.0,11,309,1,10067.4,4
Female,18,3,41507,Nyanza,2140,Rent,2,7,0,0,1,1,3,1,1,12500,8750.0,7,408,1,12452.1,2
Male,35,5,65042,Eastern,25613,Rent,1,4,0,0,1,0,2,2,2,19500,13650.0,7,385,1,19512.6,1
